Url,Title,Authors,Sources,Dates
http://www.youtube.com/watch?v=pkn_6eN4ti8,Syria 'still holds chemical weapons' OPCW head Kaag,<NONE>,Top World News,2014.04.27
http://www.health.state.mn.us/divs/eh/hazardous/topics/toxfreekids/priority.html,Priority Chemicals,<NONE>,Minnesota department of health,2012.11.01
http://www.health.state.mn.us/divs/eh/hazardous/topics/toxfreekids/,Chemicals of High Concern and Priority Chemicals ,<NONE>,Minnesota department of health,2013.07.01
http://www.maine.gov/dep/safechem/priority.html,Priority Chemicals,<NONE>,Maine department of enviromental protection,<NONE>
http://www.medicalnewstoday.com/articles/276702.php,Scientists identify 'high-priority' chemicals that may cause breast cancer,Honor Whiteman,Medical News Today AND MNT,2014.05.12
http://www.globalresearch.ca/the-un-mission-confirms-that-rebels-were-in-possession-of-chemical-weapons/5361459,The UN Syria Mission Confirms that Rebels Were in Possession of Chemical Weapons,Prof Michel Chossudovsky AND Julie Lévesque,Global research,2013.12.13
http://www.pbs.org/newshour/rundown/what-you-need-to-know-about-the-obamacare-marketplaces/,What You Need to Know About the Obamacare Marketplaces,Mary Agnes Carey AND Julie Appleby,PBS,2013.09.24
http://www.npr.org/2013/10/11/230916150/faq-all-about-health-insurance-exchanges-and-how-to-shop-for-coverage,FAQ: All About Health Insurance Exchanges And How To Shop For Coverage,<NONE>,NPR,2013.10.11
http://www2.cincinnati.com/blogs/dailydose/2013/09/18/answers-to-your-affordable-care-act-questions/,Answers to your Affordable Care Act questions,Jordan Kellogg,cincinnati,2013.09.18
http://www.biomonitoring.ca.gov/chemicals/priority-chemicals,Priority Chemicals,<NONE>,Biomonitoring california AND biomonitoring,<NONE>
http://4therecord.org/conflict/syria/syria-archive/,Syria: Archive (Latest),<NONE>,4therecord,2014.04.28
http://www.nytimes.com/2014/02/28/world/europe/crimea-ukraine.html,Gunmen Seize Government Buildings in Crimea,Andrew Higgins AND Steven Erlanger,new york times AND nytimes,2014.02.27
http://www.usubc.org/site/recent-news/ukraine-in-the-news-2-27-2014-thursday,UKRAINE IN THE NEWS 2-27-2014 - Thursday,<NONE>,USUBC AND U.S.-Ukraine business council,2014.02.27
http://www.theoccidentalobserver.net/2014/02/competing-nationalisms-in-the-ukraine/,Competing Nationalisms in Ukraine,Kevin MacDonald,The occidental observer,2014.02.27
http://ex-army.blogspot.com/2014_02_01_archive.html,A Vox Day Question,<NONE>,Ex-Army,2014.02.28
http://www.youtube.com/watch?v=iDsZTCg5b8s,Russian Army on High Alert - Army Readiness Drills Started ,<NONE>,Free Thinking News,2014.02.27
http://gawker.com/pro-russia-gunmen-seize-government-buildings-in-ukrain-1532352490,Pro-Russia Gunmen Storm Government Buildings in Ukraine's Crimea,Taylor Berman,Gawker,2014.02.27
http://www.telegraphindia.com/1140228/jsp/foreign/story_18029825.jsp,Masked gunmen seize Crimea buildings - Ousted leader says he is still Ukraine’s President ,ANDREW HIGGINS AND STEVEN LEE MYERS,the telegraph,2014.02.28
http://www.youtube.com/watch?v=LOd3uhU3kO8,UKRAINE President Yanukovych Releases Statement from RUSSIA ,<NONE>,Free Thinking News,2014.02.27
http://www.abovetopsecret.com/forum/thread1006638/pg1,"Russia trying to 'dismember' Ukraine through protests, Kiev says",<NONE>,abovetopsecret AND ATS,2014.04.07
http://es.redskins.com/topic/377195-bbc-ukraine-sanctions-imposed-amid-kiev-clashes/page-2,BBC: Ukraine sanctions imposed amid Kiev clashes,<NONE>,washington red skins AND @redskins,2014.02.20
http://www.latimes.com/world/europe/la-fg-ukraine-russia-journalist-killed-20140617-story.html,Two Russian journalists killed in Ukrainian attack on separatists,Carol J. Williams,Los Angeles Times AND latimes,2014.06.17
http://www.nytimes.com/2014/02/27/world/europe/russia.html,"As Putin Orders Drills in Crimea, Protesters’ Clash Shows Region’s Divide",ANDREW HIGGINS AND STEVEN LEE MYERS,new york times AND nytimes,2014.02.26
http://news.kievukraine.info/2014/02/putin-drills-ground-troops-at-ukraines.html,Putin Drills Ground Troops At Ukraine’s Doorstep As U.S. Warns Against Intervention ,Nicholas,Kiev Ukraine News AND kievukraine,2014.02.27
"http://www.american-reporter.com/4,941W/sec1.html",<NONE>,<NONE>,the american reporter,2014.03.23
http://www.thewire.com/global/2014/02/russia-begin-military-exercises-tensions-rise-crimea/358582/,Russia to Begin Military Exercises as Tensions Rise in Crimea,Brian Feldman AND @BAFeldman,the wire,2014.02.27
http://patdollard.com/2014/02/putin-drills-military-at-ukraines-doorstep-obama-issues-one-of-his-laughable-weakling-coward-warnings/,"Putin Drills Military At Ukraine’s Doorstep, Obama Issues One Of His Laughable, Weakling Coward Warnings",Jack Flash,pat dollar,2014.02.26
http://www.survive55.com/1/category/healthcare/1.html,ARE HEALTHCARE.GOV COSTS OFF THE MARK?,<NONE>,survive55,2013.12.12
http://www.washingtonpost.com/national/health-science/expert-responses-to-commonly-asked-questions-about-the-individual-mandate/2013/09/30/b46ac5e2-2538-11e3-b75d-5b7f66349852_story.html,Expert responses to commonly asked questions about the individual mandate,Alvin Tran,washington post,2013.09.30
http://members.jacksonville.com/news/premium-news/2013-09-30/story/we-answer-some-questions-about-affordable-care-act,We answer some questions about the Affordable Care Act,<NONE>,the florida times-union,2013.09.30
http://www.forbes.com/sites/mitchelltuchman/2013/06/28/what-is-an-etf-three-simple-answers/,What Is An ETF? Three Simple Answers,Mitch Tuchman,Forbes,2013.06.28
http://www.theguardian.com/world/2014/jun/13/french-arts-workers-threat-festivals-strike-avignon,French arts workers threaten to shut down main festivals with strike,Kim Willsher,the Guardian,2014.06.13
http://www.firstbiz.com/corporate/international/nenext-scene-new-act-actors-threaten-french-summer-festivals-over-insurance-cuts-xt-scene-new-act-performers-threaten-french-summer-festivals-cut-unemployment-insurance-87380.html,French actors threaten summer festivals over insurance cuts,<NONE>,Firstbiz AND Reuters,2014.06.11
http://www.cornucopia.org/2014/05/vermont-passes-gmo-labeling-law-food-industry-announces-plans-sue/,"After Vermont Passes GMO Labeling Law, Food Industry Announces Plans To Sue",<NONE>,Cornucopia Institute,2014.05.09
http://thinkprogress.org/world/2014/02/27/3339221/crimea-riven-ukraine/,Crimea: What You Need To Know About The Next Phase Of The Ukraine Crisis,Hayes Brown AND @HayesBrown,thinkprogress,2014.02.27
http://thelede.blogs.nytimes.com/2014/02/27/live-coverage-tensions-in-ukraine/,Updates on the Tensions in Ukraine,CHRISTINE HAUSER AND JENNIFER PRESTON,new york times AND nytimes,2014.02.27
http://uk.reuters.com/article/2014/02/26/uk-ukraine-crisis-usa-idUKBREA1P1LS20140226,Russian military action in Ukraine would be 'grave mistake' - U.S.,Arshad Mohammed AND Lesley Wroughton,reuters,2014.02.26
http://www.theguardian.com/world/2014/feb/26/ukraine-new-leader-disbands-riot-police-crimea-separatism,Russia puts military on high alert as Crimea protests leave one man dead,Oksana Grytsenko AND Shaun Walker AND Harriet Salem,the guardian,2014.02.26
http://www.businessweek.com/news/2014-02-26/kerry-says-u-dot-s-dot-planning-1-billion-loan-guarantee-for-ukraine,Kerry Says U.S. Plans $1 Billion Loan Guarantee for Ukraine (1,Nicole Gaouette,bloomberg business week AND businessweek,2014.02.26
http://www.telegraph.co.uk/news/worldnews/europe/ukraine/10663971/Russia-and-Nato-to-face-off-over-Ukraine.html,Russia and Nato to face off over Ukraine,Roland Oliphant,the telegraph,2014.02.26
http://valentfx.com/shipping-update-logi-ugv-video-for-sparkfun-avc/, Shipping Update – LOGI-UGV Video for Sparkfun AVC ,<NONE>,valentfx,2014.06.04
http://bigstory.ap.org/article/us-eyes-1-billion-ukraine-loan-guarantees,US warns Russia against Ukraine intervention,MATTHEW LEE,the big story,2014.02.26
http://www.stuff.co.nz/world/europe/9770276/Keep-out-of-Ukraine-Russia-warned,"Keep out of Ukraine, Russia warned",<NONE>,<NONE>,2014.02.27
http://www.euractiv.com/europes-east/russia-puts-troops-alert-ukraine-news-533803,Russia puts troops on alert as Ukraine elects ‘kamikaze’ cabinet,<NONE>,euractiv AND @EurActiv,2014.02.27  
http://thehill.com/policy/international/199410-reports-armed-men-seize-ukraine-government-buildings-raise,Government buildings seized in Crimea,Rebecca Shabad,the hill,2014.02.27   
http://www.wjla.com/articles/2014/02/russia-sheltering-ukrainian-president-viktor-yanukovych-100619.html,Russia sheltering Ukrainian President Viktor Yanukovych,<NONE>,wjla,2014.02.27  
http://www.businessinsider.com/armed-men-seized-parliament-2014-2,Armed Pro-Russia Men Have Seized Parliament In Ukraine's Crimea,Dalton Bennett,Business Insider,2014.02.27
http://www.ryot.org/russian-military-men-now-occupy-airport-ukraine/586181,Russian Military Men Now Occupy Airport in Ukraine,Brittany Greenquist AND @britgreenquist,Ryot,2014.02.28
http://www.military.com/daily-news/2014/02/27/ukraine-pro-russia-gunmen-seize-offices-in-crimea.html,Ukraine: Pro-Russia Gunmen Seize Offices in Crimea,Dalton Bennett,<NONE>,2014.02.27   
http://www.latimes.com/world/worldnow/la-fg-wn-ukraine-crimea-20140227-story.html,Pro-Russia gunmen seize government buildings in Ukraine's Crimea,<NONE>,The Los Angeles times,2014.02.27
http://www.cbsnews.com/news/fears-of-a-divided-ukraine-rise-as-pro-russia-demonstrators-storm-crimean-parliament/,Fears of a divided Ukraine rise as pro-Russia demonstrators storm Crimean parliament,<NONE>,Cbs news AND CBS,2014.02.27
http://news.clearancejobs.com/2014/02/27/genealogy-al-qaeda-standoff-crimea-wrangling-government-big-data-daily-intelligence/,"Genealogy of al Qaeda, Standoff in Crimea, and Wrangling Government Big Data– Daily Intelligence",Ed Ledford AND @ECLedford,<NONE>,2014.02.27 
http://hotair.com/archives/2014/02/27/pro-russian-forces-seize-crimean-parliament-building/,Pro-Russian forces seize Crimean parliament building,Ed Morrissey,hotair,2014.02.27
http://www.todayszaman.com/news-340657-russia-reportedly-sheltering-ukraines-president.html,Russia reportedly sheltering Ukraine's president,<NONE>,Todays zaman,2014.02.27
http://www.npr.org/blogs/thetwo-way/2014/02/27/283327707/ukraine-crisis-pro-russia-gunmen-seize-offices-in-crimea,Ukraine Crisis: New Government Takes Shape As Crimea Simmers,Mark Memmott,NPR,2014.02.27  
http://www.nytimes.com/2014/02/28/world/europe/ukraine.html,Ousted Leader Seeks Russian Aid as Tensions Rise in Crimea,Steven Lee Myers,new york times AND nytimes,2014.02.27
http://ukrainianweek.com/News/103459,Yanukovych is in Russia and may be granted asylum there,<NONE>,the Ukrainian week,2014.02.27
http://swampland.time.com/2014/02/27/morning-must-reads-february-27-2/,Morning Must Reads: February 27,Maya Rhodan AND @m_rhodan,time,2014.02.27 
http://flashtrafficblog.wordpress.com/2014/02/27/is-russia-preparing-to-move-on-ukraine-sends-fighter-jets-troops-near-border-u-s-warns-russia-military-force-would-be-grave-mistake-here-are-the-latest-developments/,"Is Russia preparing to move on Ukraine? Sends fighter jets, troops near border. U.S. warns Russia military force would be “grave mistake.” Here are the latest developments.",Joel C. Rosenberg,wordpress,2014.02.27
http://pejmanyousefzadeh.net/2014/02/,Monthly Archives: February 2014,Pejman Yousefzadeh,<NONE>,2014.02.27
http://www.kyivpost.com/content/ukraine-abroad/new-york-times-ousted-ukrainian-leader-asks-russia-to-protect-him-337761.html,New York Times: Ousted Yaukovych asks Russia to protect him,<NONE>,New York Times AND nytimes AND kyivpost,2014.02.27
http://michaelsnyder.mensnewsdaily.com/2014/02/12-signs-that-russia-is-ready-to-fight-a-war-over-crimea/,12 Signs That Russia Is Ready To Fight A War Over Crimea,Michael Snyder,Mens news daily AND MND,2014.02.27
http://www.kyivpost.com/content/ukraine-abroad/new-york-times-ousted-yanukovych-seeks-russian-aid-as-tensions-rise-in-crimea-337785.html,New York Times: Ousted Yanukovych seeks Russian aid as tensions rise in Crimea,<NONE>,New York Times AND nytimes AND kyivpost,2014.02.27
http://en.wikipedia.org/wiki/Self-defense,Self-defense,<NONE>,Wikipedia,2014.06.18
http://www.vaselfdefenselaw.com/,<NONE>,<NONE>,vaselfdefenselaw,<NONE>
http://criminal.findlaw.com/criminal-law-basics/self-defense-overview.html,Self-Defense Overview ,<NONE>,FindLaw,<NONE>
http://www.rad-systems.com/rad_advanced.html,R.A.D. ADVANCED SELF DEFENSE,<NONE>,radsystems,<NONE>
http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0049986,"Divergent Trends in Abortion and Birth Control Practices in Belarus, Russia and Ukraine ",Boris P. Denisov AND Victoria I. Sakevich AND Aiva Jasilioniene,Plos one,2012.11.30
http://belarusdigest.com/story/winning-crimea-russia-can-lose-belarus-17104,"By Winning Crimea, Russia Can Lose Belarus",Ryhor Astapenia,belarusdigest,2014.03.10
http://www.foreignaffairs.com/articles/141048/andrew-wilson/belarus-wants-out,Belarus Wants Out,Andrew Wilson,foreignaffairs,2014.03.20
http://www.fas.org/irp/threat/prolif97/fsu.html,"RUSSIA, UKRAINE, KAZAKHSTAN, AND BELARUS",<NONE>,fas,<NONE>
http://rt.com/news/belarus-crimea-part-russia-657/,Belarusian president: Crimea is de-facto part of Russia,<NONE>,RT,2014.03.23
http://www.nytimes.com/2014/05/30/world/europe/putin-signs-economic-alliance-with-presidents-of-kazakhstan-and-belarus.html,Russia and 2 Neighbors Form Economic Union That Has a Ukraine-Size Hole,Neil MacFarquhar,New York Times AND nytimes,2014.05.29 
http://www.avert.org/hiv-aids-russia-eastern-europe-central-asia.htm,"HIV & AIDS in Russia, Eastern Europe & Central Asi",<NONE>,avert,<NONE>
http://www.smh.com.au/world/crimea-airport-calm-but-gunmen-remain-outside-20140228-hvfmj.html,"Crimea airport calm, but gunmen remain outside",<NONE>,Sydney Morning Herald,2014.02.28
http://www.nytimes.com/2014/02/28/world/europe/ukraine-tensions.html,Grab for Power in Crimea Raises Secession Threat,Andrew Higgins,New York Times AND nytimes,2014.02.27
http://www.nytimes.com/2014/02/28/world/europe/ukraine.html,Ousted Leader Seeks Russian Aid as Tensions Rise in Crimea,Steven Lee Myers,New York Times AND nytimes,2014.02.27
http://www.omig.ny.gov/resources/webinars/618-omig-webinar-13,OMIG Webinar #13 - The Federal Care Act 6402 and Credible Allegations of Fraud,<NONE>,<NONE>,<NONE>
http://bigstory.ap.org/article/vermont-governor-signs-gmo-labeling-bill,Vermont law requires labeling of GMO foods,DAVE GRAM,The Big Story,2014.05.08
http://www.preppersworldusa.com/2014/02/27/gunmen-seize-crimean-parliament-russian-mobilizing-military-forces-quietly/,Gunmen Seize Crimean Parliament. Russian Mobilizing Military Forces Quietly.,<NONE>,Preppersworldusa AND Bloomberg,2014.02.27
http://www.pri.org/stories/2014-02-24/five-reasons-why-ukraines-ousted-president-might-be-hiding-crimea,Five reasons why Ukraine's ousted president might be hiding in Crimea,Bradley Campbell,PRI,2014.02.24
http://ultraculture.org/blog/2014/05/09/vermont-becomes-first-state-require-gmo-labeling/,Vermont Becomes the First State to Require GMO Labeling,<NONE>,Ultraculture,2014.05.09
http://www.staradvertiser.com/news/breaking/20140508_vermont_law_requires_labeling_of_gmo_foods.html,Vermont law requires labeling of GMO foods,DAVE GRAM,Star advertiser,2014.05.08
http://www.quora.com/Was-the-CIA-involved-in-the-overthrow-of-President-Yanukovych,Was the CIA involved in the overthrow of President Yanukovych?,<NONE>,quora,<NONE>
http://www.rawstory.com/rs/2013/12/12/u-n-report-concludes-that-chemical-weapons-were-used-in-syrian-conflict/,U.N. report concludes that chemical weapons were used in Syrian conflict,<NONE>,rawstory AND Agence France-Presse,2013.12.12
http://www.reuters.com/article/2013/12/13/us-syria-crisis-chemical-un-idUSBRE9BB1AJ20131213,U.N. confirms chemical arms were used repeatedly in Syria,Louis Charbonneau AND Michelle Nichols,Reuters,2013.12.13
http://www.rferl.org/content/ukraine-horlivak-occupied/25367823.html,Ukrainian Forces 'On Full Combat Alert' ,<NONE>,Radio Free Europe radio liberty AND RFE/RL AND rferl,2014.04.30
http://mashable.com/2014/06/12/ukraine-anti-terrorist-operation/,"270 Dead in Ukraine's Anti-Terrorist Operation, Health Ministry Says",Christopher Miller,Mashable,2014.06.12
http://www.aljazeera.com/news/europe/2014/04/ukraine-launches-anti-terrorist-operation-201441363951423315.html,Ukraine launches 'anti-terrorist' operation,<NONE>,Aljazeera AND Reuters,2014.04.13
http://www.telegraph.co.uk/news/worldnews/europe/ukraine/10780790/Ukraine-to-restart-anti-terrorist-operation-as-military-plane-hit-by-gunfire.html,Ukraine to restart anti-terrorist operation as military plane 'hit by gunfire',<NONE>,the telegraph,2014.04.22
http://www.tehrantimes.com/middle-east/112778-assad-win-may-be-syrias-best-option-ex-cia-chief,Assad win may be Syria's 'best option': Ex-CIA chief,<NONE>,Tehran times,2013.12.13
http://www.telegraph.co.uk/news/worldnews/europe/ukraine/10797862/Ukraine-on-full-combat-alert-against-possible-Russia-invasion.html,Ukraine 'on full combat alert' against possible Russia invasion,<NONE>,telegraph,2014.04.30
http://www.theglobeandmail.com/sports/olympics/rossiya-rossiya-rare-sight-of-national-pride-for-host-country/article16760280/,‘Rossiya! Rossiya!’ Rare sight of national pride for host country ,Mark Mackinnon,the globe and mail,2014.02.07
http://www.theguardian.com/world/2013/dec/13/syria-chemical-weapons-four-locations-un,"Syria: chemical weapons probably used in four more places, UN inspectors find",<NONE>,the Guardian,2013.12.13
http://www.zerohedge.com/news/2014-02-27/pro-russian-gunmen-seize-ukraine-crimean-parliament-russia-puts-jets-high-alert-hryv?page=1,Pro-Russian Gunmen Seize Ukraine Crimean Parliament; Russia Puts Jets On High Alert; Hryvnia In Record Plunge,Tyler Durden,Zero hedge,2014.02.27
http://www.themoscowtimes.com/news/article/armed-men-seize-government-buildings-in-crimea/495328.html,Armed Men Seize Government Buildings in Crimea,Aisulu Aldasheva AND Christopher Brennan,the Moscow times,2014.02.28
http://www.thenation.com/blogs/bob-dreyfuss?page=0%2C4,"Iraq Votes, but Its Nightmare Continues",Bob Dreyfuss,the nation,2014.04.30
http://www.thewire.com/global/2014/04/jpmorgan-really-upset-the-russian-foreign-ministry/360068/,JPMorgan Really Upset the Russian Foreign Ministry by Obeying Bank Sanctions,Polly Mosendz,the wire,2014.04.02
http://www.timeanddate.com/holidays/russia/russia-day,Russia Day in Russia,<NONE>,timeanddate,<NONE>
http://www.burlingtonfreepress.com/story/news/politics/2014/06/12/gma-sues-vt-gmo-law/10389209/,Trade groups sue VT over GMO labeling law,NANCY REMSEN,burlingtonfreepress,2014.06.13
http://www.today.com/video/today/54496813,Arrest warrant issued for Ukraine’s president,<NONE>,today,2014.02.24
http://www.ultimateselfdefense.com/,THE ULTIMATE SELF-DEFENSE & PERFORMANCE CENTER,<NONE>,Ultimate self-defense,<NONE>
http://www.un.org/apps/news/story.asp?NewsID=38187,Panel of experts finds credible reports of war crimes during Sri Lanka conflict – UN,<NONE>,united nations AND UN,2011.04.25
http://www.un.org/apps/news/story.asp?NewsID=46730,UN team finds ‘credible information’ on more cases of chemical weapons use in Syria,<NONE>,united nations AND UN,2013.12.12
http://www.businessinsider.com/sukhoi-t-50-cant-compete-with-the-f-35-2014-6?op=1,Sukhoi T-50 Can't Compete With The F-35,Eloise Lee AND Robert Johnson,Business Insider,2014.06.02
http://www.unian.info/politics/894010-un-recognizes-that-yanukovych-is-no-longer-president-of-ukraine.html,UN recognizes that Yanukovych is no longer President of Ukraine,<NONE>,Unian,2014.03.07
http://www.va.gov/healthbenefits/apply/veterans.asp,Health benefits,<NONE>,U.S. Department of veterans affairs AND va.gov,<NONE>
http://www.salon.com/2014/06/12/grocers_sue_vermont_over_gmo_food_label_law/,Grocers sue Vermont over GMO food label law,Wilson Ring,salon,2014.06.13
http://amanpour.blogs.cnn.com/2014/02/25/putin-has-no-reason-to-interfere-in-ukraine-says-former-kremlin-adviser/,"Putin has no reason to interfere in Ukraine, says former Kremlin adviser",Mick Krever,CNN,2014.02.25
http://beforeitsnews.com/alternative/2014/02/ukraine-conflict-fears-rise-as-crimea-airport-is-seized-2908348.html,Ukraine conflict fears rise as Crimea airport is seized,<NONE>,before it's news AND Nunez Report,2014.02.27
http://boredoftherings.150m.com/bored_five.html,Chapter V: Some Monsters ,<NONE>,boredoftherings,<NONE>
http://consortiumnews.com/2013/12/13/fresh-doubts-about-syrias-sarin-guilt/,Fresh Doubts about Syria’s Sarin Guilt ,Robert Parry,consortiumnews,2013.12.13
http://edition.cnn.com/2014/05/08/health/vermont-gmo-labeling/,Vermont governor signs GMO food labeling into law,Dana Ford AND Lorenzo Ferrigno,CNN,2013.05.09
http://dish.andrewsullivan.com/2014/02/27/chaos-in-crimea/,Chaotic In Crimea,<NONE>,the dish,2014.02.27
http://eaworldview.com/2013/12/syria-conclusions-un-mission-use-chemical-weapons/,Syria: Conclusions of the UN Mission on the Use of Chemical Weapons,Scott Lucas,EA WorldView,2013.12.13
http://english.alarabiya.net/en/News/middle-east/2013/12/13/Syria-used-chemicals-multiple-times-U-N-.html,UN: chemical arms used 5 times in Syria,<NONE>,al arabiya news AND alarabiya,2013.12.13
http://eyecrazy.blogspot.com/2014_02_01_archive.html,Ukraine’s new government declares Russia has invaded,Richard K,EYE ON A CRAZY PLANET AND eyecrazy,2014.02.28
http://folk.uib.no/hnohf/auldelv.htm,<NONE>,<NONE>,folk.uib.no,<NONE>
http://www.bankrate.com/finance/insurance/obamacares-10-essential-benefits-1.aspx,What are Obamacare's 10 essential benefits?,Susan Ladika,bankrate,<NONE>
http://gowans.wordpress.com/2013/12/14/under-reported-un-investigation-points-to-rebel-use-of-chemical-weapons-in-syria/,Under-Reported UN Investigation Points to Rebel Use of Chemical Weapons in Syria,Stephen Gowans,wordpress,2013.12.14
http://hawaiiankingdom.org/blog/hawaii-and-the-crimean-crisis-obama-is-not-a-legitimate-president/,Hawai‘i and the Crimean Crisis – Obama is not a Legitimate President,<NONE>,Hawaiian Kingdom,2014.03.09
http://interventionswatch.wordpress.com/2013/12/13/release-of-latest-u-n-report-on-alleged-cw-use-in-syria-strangely-low-key/,Release of latest U.N. report on alleged chemical weapons usage in Syria strangely low key.,<NONE>,Interventions Watch,2013.12.13
http://joshuapundit.blogspot.com/2014/02/russia-is-now-moving-troops-to-ukraine.html,Russia Says 'No Basis For Dialogue' Is Now Moving Troops To The Ukraine Border,Rob,Joshuapundit,2014.02.24
http://levantreport.com/2014/04/10/white-house-denies-hersh-allegations-but-what-do-the-united-nations-massachusetts-institute-of-technology-and-tesla-labs-inc-say-about-syria-chemical-weapons/,"White House Denies Hersh Allegations: But what do the United Nations, Massachusetts Institute of Technology, and Tesla Labs Inc. say about Syria Chemical Weapons?",Brad Hoff,Levant report,2014.04.10
http://levantreport.com/category/syria-chemical-weapons/,"White House Denies Hersh Allegations: But what do the United Nations, Massachusetts Institute of Technology, and Tesla Labs Inc. say about Syria Chemical Weapons?",Brad Hoff,Levant report,2014.04.10
http://lonelyconservative.com/2014/02/now-that-olympics-are-over-russia-moves-troops-to-ukraine-border/,Now That Olympics Are Over Russia Moves Troops To Ukraine Border,Lonely Conservative AND Karen,lonelyconservative,2014.02.24
http://lyrics.duble.com/we-agree-lyrics-judy-jacobs.html,We Agree lyrics,Judy Jacobs,Lyrics duble AND lyrics.duble,<NONE>
http://news.kievukraine.info/2014_02_01_archive.html,Yanukovych: 'I Am The Legitimate President Of Ukraine',Nicolas,Kiev Ukraine News Blog AND kievukraine,2014.02.28
http://news.kuwaittimes.net/protesters-take-kiev-president-slams-coup-opposition-icon-tymoshenko-walks-free/,"Protesters take Kiev, president slams coup – Opposition icon Tymoshenko walks free ",<NONE>,Kuwait times,2014.02.23
